Call_ID,Speaker,Conversation,Start,End
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Well.,1,13
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Thank you very much for calling card member services this is Jack and can please have the card number,14,16
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Yes 4088,17,21
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,560800446031,22,27
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Thank you very much.,28,33
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,May I Have your name please.,34,36
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Selena and Graham.,37,39
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Also Lena Grimes what's on the card.,40,41
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,May Ihave you.,42,46
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Phone number,47,51
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,60,52,56
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Mobile 0 for one eight one eight 6649.,57,60
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Thank you very much and how I can help you today.,61,64
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Ms. Graham.,65,66
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Yes hello.,67,70
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,I'm activated I got a couple of cards  in the Mile.,71,76
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,I'm activated the $25 one I went to use that the whole $25 one and then it said it was the declined straight away and then obviously $0.15 came out and then I tried to put in 20 4 and then it said it was declined again and then another $0.15 charge that an adult 20 obviously for the phone call but yeah why is that happening,77,78
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Well I can see the very first time you just try to make a purchase for $26.,79,80
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,As you know you would just have,81,86
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,That was a lady yeah I said put 25 that and I'll put the the other  dollar on cash I see,87,88
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,The,89,91
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Best trends that you and that's,92,93
